Number,GivenName,Surname,Birthday,StreetAddress,NameSet,EmailAddress,TelephoneNumber,Kilograms,CCType,CCNumber,CVV2,CCExpires,Vehicle
3,Melusina,Cuillerier,9/11/1966,"81 Boulevard de Normandie",French,MelusinaCuillerier@einrot.com,01.39.85.49.31,79.9,Visa,4485886808890212,305,5/2021,"2011 Koenigsegg CCXR"
1,Dirk,Fuhrmann,10/7/1941,"Neue Roßstr. 28",German,DirkFuhrmann@armyspy.com,"0711 35 01 78",76.5,Visa,4539448007296299,829,6/2021,"2004 MCC Silverpulse"
4,Phillipa,Dostie,11/14/1939,"33 rue Charles Corbeau",French,PhillipaDostie@rhyta.com,02.08.31.68.09,94.2,Visa,4716696402082442,369,10/2017,"1994 BMW 520"
3,Katrin,Maier,12/6/1958,"Koepenicker Str. 62",German,KatrinMaier@teleworm.us,"06772 43 33 67",84.2,Visa,4716130926100795,782,12/2018,"2010 Renault Symbol"
5,Blondelle,Ayot,8/1/1956,"12 Rue Frédéric Chopin",French,BlondelleAyot@teleworm.us,03.40.73.27.75,60.6,MasterCard,5307987826156546,886,2/2018,"2000 Ford Galaxy"
8,Anne,Bosch,4/29/1945,"Bissingzeile 68",German,AnneBosch@jourrapide.com,"04756 11 39 07",53.0,Visa,4916323840781851,997,5/2018,"2009 Toyota Matrix"
9,Blondelle,Lapointe,5/23/1974,"14 rue des lieutemants Thomazo",French,BlondelleLapointe@teleworm.us,03.98.48.80.78,105.3,MasterCard,5541968545848197,134,9/2017,"1997 Ford Thunderbird"
13,Phillipp,Winkel,4/12/1974,"Fasanenstrasse 8",German,PhillippWinkel@dayrep.com,"040 85 01 95",83.2,MasterCard,5157764120544888,757,8/2017,"2005 BMW 730"
10,Tyson,Picard,11/12/1970,"41 cours Jean Jaures",French,TysonPicard@fleckens.hu,05.70.49.75.46,85.6,Visa,4916103963178568,253,6/2020,"2003 Proton Juara"
16,Thomas,Krause,12/2/1969,"Büsingstrasse 81",German,ThomasKrause@armyspy.com,"08136 78 56 98",114.1,Visa,4556303526280027,132,1/2018,"2005 Lancia Thesis"
12,Oriel,Ayot,7/29/1980,"5 rue Marguerite",French,OrielAyot@rhyta.com,01.29.97.69.18,91.1,MasterCard,5551781297657261,626,10/2017,"2015 Ford Explorer"
17,Birgit,Jager,5/8/1998,"Borstelmannsweg 96",German,BirgitJager@cuvox.de,"09564 15 66 96",83.0,MasterCard,5500929003958737,005,8/2019,"2002 Rover 75"
14,Ninette,Morneau,6/13/1948,"86 Rue de Strasbourg",French,NinetteMorneau@armyspy.com,04.69.61.28.59,66.7,MasterCard,5166050014076552,718,9/2019,"1995 Nissan Sentra"
20,Gabriele,Berg,5/6/1957,"Schoenebergerstrasse 74",German,GabrieleBerg@einrot.com,"03744 49 19 07",52.7,MasterCard,5245939356558471,043,11/2018,"2007 Honda Civic"
15,Sibyla,Lavoie,8/12/1933,"65 rue Victor Hugo",French,SibylaLavoie@rhyta.com,02.22.08.79.16,48.2,Visa,4539890451203554,301,5/2021,"2009 Ford Galaxy"
28,Jessica,Baum,8/10/1940,"Frankfurter Allee 36",German,JessicaBaum@superrito.com,"0731 96 51 96",86.6,Visa,4929642852787398,519,9/2021,"2003 Chevrolet Monte Carlo"
19,Ormazd,Thibault,5/17/1955,"5 avenue Ferdinand de Lesseps",French,OrmazdThibault@cuvox.de,05.52.71.42.05,73.2,MasterCard,5536306133257439,045,12/2017,"2000 Plymouth Voyager"
31,Sandra,Luft,1/18/1932,"Leopoldstraße 57",German,SandraLuft@gustr.com,"030 30 12 93",65.7,Visa,4716502704137894,380,7/2017,"2003 Chrysler Pacifica"
20,Alphonsine,Robillard,5/27/1981,"3 rue Saint Germain",French,AlphonsineRobillard@cuvox.de,04.84.86.39.64,94.8,MasterCard,5448597505682041,701,5/2019,"2012 BMW 330"
32,Daniel,Winkel,6/24/1932,"Fontenay 76",German,DanielWinkel@armyspy.com,"09261 87 03 87",67.7,Visa,4916596255797658,491,3/2020,"2005 Kia Carnival"
21,Jewel,Fresne,12/5/1937,"34 rue Gouin de Beauchesne",French,JewelFresne@teleworm.us,02.78.80.43.18,97.2,MasterCard,5214854570128661,113,5/2017,"1993 Alfa Romeo Spider"
